subtipo,barrio,mes,anio,count
Robo total,BARRACAS,ENERO,2020,239
Robo total,VILLA LUGANO,OCTUBRE,2022,238
Robo total,CONSTITUCION,MARZO,2023,238
Hurto total,RECOLETA,OCTUBRE,2023,238
Robo total,ALMAGRO,SEPTIEMBRE,2016,238
Hurto total,RECOLETA,MARZO,2022,238
Hurto total,RECOLETA,DICIEMBRE,2022,237
Robo total,BARRACAS,SEPTIEMBRE,2023,237
Hurto total,SAN NICOLAS,ENERO,2019,237
Robo total,CABALLITO,ENERO,2019,237
Robo total,CABALLITO,FEBRERO,2017,237
Hurto total,SAN NICOLAS,SEPTIEMBRE,2022,237
Hurto total,BALVANERA,ABRIL,2022,236
Hurto total,BALVANERA,DICIEMBRE,2017,236
Robo total,RECOLETA,OCTUBRE,2017,236
Robo total,CABALLITO,AGOSTO,2018,236
Hurto total,BALVANERA,ENERO,2023,236
Robo total,CABALLITO,DICIEMBRE,2017,236
Hurto total,RECOLETA,NOVIEMBRE,2022,236
Robo total,ALMAGRO,OCTUBRE,2022,236
Robo total,ALMAGRO,ABRIL,2017,236
Hurto total,RECOLETA,JULIO,2022,235
Robo total,RECOLETA,JUNIO,2017,235
Hurto total,BALVANERA,OCTUBRE,2017,235
Hurto total,SAN NICOLAS,ABRIL,2023,235
Robo total,RECOLETA,ABRIL,2022,235
Robo total,PALERMO,MAYO,2021,234
Robo total,SAN NICOLAS,MARZO,2016,234
Robo total,ALMAGRO,ENERO,2018,234
Robo total,CABALLITO,MAYO,2023,234
Robo total,RECOLETA,FEBRERO,2022,233
Robo total,FLORES,OCTUBRE,2021,233
Hurto total,SAN NICOLAS,MARZO,2018,233
Hurto total,BALVANERA,SEPTIEMBRE,2018,232
Robo total,RECOLETA,JULIO,2017,232
Hurto total,PALERMO,NOVIEMBRE,2020,232
Robo total,BALVANERA,JULIO,2021,232
Robo total,RECOLETA,ABRIL,2023,232
Robo total,FLORES,DICIEMBRE,2021,232
Robo total,SAN NICOLAS,MARZO,2019,232
Robo total,FLORES,SEPTIEMBRE,2019,231
Robo total,FLORES,OCTUBRE,2019,231
Robo total,FLORES,JULIO,2021,231
Hurto total,FLORES,DICIEMBRE,2022,231
Robo total,BARRACAS,AGOSTO,2018,231
Hurto total,SAN NICOLAS,ENERO,2017,231
Robo total,FLORES,ABRIL,2019,231
Hurto total,MONSERRAT,NOVIEMBRE,2022,231
Robo total,ALMAGRO,AGOSTO,2022,230
Robo total,VILLA LUGANO,SEPTIEMBRE,2022,230
Hurto total,FLORES,AGOSTO,2023,230
Hurto total,BELGRANO,NOVIEMBRE,2023,230
Robo total,RECOLETA,AGOSTO,2019,230
Robo total,SAN NICOLAS,DICIEMBRE,2022,230
Hurto total,RECOLETA,AGOSTO,2019,230
Hurto total,SAN NICOLAS,ENERO,2016,230
Robo total,CONSTITUCION,OCTUBRE,2017,230
Hurto total,SAN NICOLAS,OCTUBRE,2023,230
Hurto total,PALERMO,JUNIO,2021,230
Hurto total,BALVANERA,JUNIO,2018,229
Robo total,CABALLITO,JUNIO,2019,229
Robo total,CONSTITUCION,FEBRERO,2019,229
Robo total,BELGRANO,NOVIEMBRE,2018,229
Hurto total,RECOLETA,ABRIL,2019,228
Hurto total,FLORES,SEPTIEMBRE,2022,228
Robo total,RECOLETA,JUNIO,2019,228
Robo total,BARRACAS,JULIO,2023,228
Robo total,SAN NICOLAS,MAYO,2018,228
Robo total,FLORES,FEBRERO,2022,228
Robo total,RECOLETA,SEPTIEMBRE,2017,228
Hurto total,FLORES,OCTUBRE,2022,227
Robo total,BALVANERA,DICIEMBRE,2020,227
Robo total,ALMAGRO,DICIEMBRE,2017,227
Hurto total,RECOLETA,SEPTIEMBRE,2019,227
Robo total,CONSTITUCION,DICIEMBRE,2022,227
Robo total,CABALLITO,SEPTIEMBRE,2022,227
Robo total,BELGRANO,MARZO,2017,227
Amenazas,ALMAGRO,MAYO,2016,227
Robo total,SAN NICOLAS,OCTUBRE,2017,227
Robo total,FLORES,ENERO,2022,226
Robo total,ALMAGRO,ABRIL,2018,226
Robo total,CABALLITO,MARZO,2023,226
Robo total,CABALLITO,FEBRERO,2019,226
Hurto total,MONSERRAT,NOVIEMBRE,2023,226
Robo total,PALERMO,SEPTIEMBRE,2020,226
Hurto total,SAN NICOLAS,JUNIO,2018,225
Hurto total,FLORES,SEPTIEMBRE,2023,225
Hurto total,BALVANERA,FEBRERO,2022,225
Robo total,CABALLITO,DICIEMBRE,2023,225
Hurto total,BALVANERA,MARZO,2018,225
Hurto total,CABALLITO,MAYO,2023,225
Robo total,SAN NICOLAS,OCTUBRE,2018,225
Hurto total,CABALLITO,NOVIEMBRE,2023,224
Robo total,CABALLITO,NOVIEMBRE,2022,224
Robo total,BARRACAS,AGOSTO,2023,224
Robo total,CABALLITO,JULIO,2022,224
Robo total,ALMAGRO,SEPTIEMBRE,2017,224
Robo total,BARRACAS,NOVIEMBRE,2023,223
Robo total,FLORES,FEBRERO,2021,223
Hurto total,FLORES,NOVIEMBRE,2022,223
Hurto total,RECOLETA,NOVIEMBRE,2019,223
Robo total,BARRACAS,MARZO,2023,222
Hurto total,CABALLITO,ABRIL,2023,222
Robo total,BARRACAS,MAYO,2023,222
Robo total,FLORES,NOVIEMBRE,2021,222
Robo total,VILLA LUGANO,ABRIL,2016,222
Robo total,FLORES,SEPTIEMBRE,2021,222
Robo total,ALMAGRO,MARZO,2017,222
Robo total,SAN NICOLAS,NOVIEMBRE,2018,222
Amenazas,PALERMO,MAYO,2016,222
Hurto total,BALVANERA,JULIO,2018,222
Hurto total,PALERMO,MARZO,2020,222
Hurto total,CABALLITO,OCTUBRE,2022,222
Robo total,BARRACAS,DICIEMBRE,2018,221
Robo total,RECOLETA,JULIO,2019,221
Robo total,ALMAGRO,MARZO,2018,221
Hurto total,BALVANERA,AGOSTO,2017,221
Robo total,SAN NICOLAS,ENERO,2016,221
Hurto total,SAN NICOLAS,ENERO,2018,221
Robo total,VILLA LUGANO,MAYO,2016,220
Robo total,CABALLITO,JULIO,2023,220
Robo total,CONSTITUCION,OCTUBRE,2022,220
Hurto total,SAN NICOLAS,JULIO,2022,220
Hurto total,RECOLETA,JULIO,2019,220
Hurto total,FLORES,MAYO,2023,220
Robo total,BARRACAS,OCTUBRE,2022,219
Robo total,CABALLITO,OCTUBRE,2019,219
Robo total,CABALLITO,MAYO,2019,219
Hurto total,RECOLETA,OCTUBRE,2019,219
Robo total,RECOLETA,AGOSTO,2017,219
Robo total,RETIRO,DICIEMBRE,2023,219
Robo total,CABALLITO,NOVIEMBRE,2023,219
Hurto total,BALVANERA,ENERO,2017,219
Robo total,CABALLITO,OCTUBRE,2022,219
Robo total,ALMAGRO,OCTUBRE,2019,219
Robo total,CABALLITO,ENERO,2020,219
Hurto total,CABALLITO,JULIO,2022,219
Robo total,SAN NICOLAS,JULIO,2017,218
Robo total,BARRACAS,DICIEMBRE,2019,218
Robo total,ALMAGRO,JUNIO,2019,218
Robo total,ALMAGRO,MARZO,2016,218
Robo total,ALMAGRO,SEPTIEMBRE,2019,218
Hurto total,ALMAGRO,MARZO,2023,218
Robo total,ALMAGRO,FEBRERO,2016,218
Hurto total,BALVANERA,MARZO,2017,218
Robo total,CABALLITO,FEBRERO,2020,218
Amenazas,LINIERS,DICIEMBRE,2016,218
Robo total,RECOLETA,AGOSTO,2022,217
Robo total,ALMAGRO,ENERO,2017,217
Hurto total,SAN NICOLAS,DICIEMBRE,2023,217
Hurto total,BALVANERA,OCTUBRE,2021,217
Robo total,ALMAGRO,NOVIEMBRE,2022,217
Hurto total,FLORES,MARZO,2023,217
Robo total,ALMAGRO,NOVIEMBRE,2023,217
Hurto total,PALERMO,ENERO,2021,217
Robo total,BARRACAS,MAYO,2019,217
Robo total,CABALLITO,ABRIL,2019,217
Robo total,BELGRANO,NOVIEMBRE,2016,216
Robo total,FLORES,FEBRERO,2020,216
Robo total,ALMAGRO,ENERO,2020,216
Robo total,RETIRO,OCTUBRE,2019,216
Robo total,CONSTITUCION,ENERO,2023,216
Robo total,BALVANERA,ABRIL,2021,216
Hurto total,SAN NICOLAS,AGOSTO,2022,215
Hurto total,CABALLITO,AGOSTO,2023,215
Robo total,RECOLETA,OCTUBRE,2021,215
Robo total,SAN NICOLAS,NOVIEMBRE,2023,215
Robo total,RECOLETA,MARZO,2018,215
Robo total,SAN NICOLAS,DICIEMBRE,2019,215
Hurto total,BELGRANO,MARZO,2023,215
Hurto total,SAN NICOLAS,MARZO,2023,215
Robo total,ALMAGRO,DICIEMBRE,2016,215
Robo total,SAN NICOLAS,NOVIEMBRE,2017,214
Robo total,VILLA LUGANO,JULIO,2016,214
Hurto total,CABALLITO,ENERO,2023,214
Robo total,VILLA LUGANO,AGOSTO,2023,214
Robo total,BELGRANO,AGOSTO,2016,214
Robo total,CONSTITUCION,NOVIEMBRE,2022,214
Robo total,BELGRANO,DICIEMBRE,2016,214
Hurto total,SAN NICOLAS,SEPTIEMBRE,2018,213
Robo total,CONSTITUCION,AGOSTO,2018,213
Robo total,FLORES,AGOSTO,2021,213
Robo total,FLORES,ENERO,2021,213
Hurto total,BALVANERA,JULIO,2017,213
Hurto total,BALVANERA,AGOSTO,2021,213
Robo total,VILLA LUGANO,JUNIO,2016,213
Robo total,BARRACAS,OCTUBRE,2017,213
Hurto total,CABALLITO,JUNIO,2022,212
Robo total,CABALLITO,JUNIO,2023,212
Robo total,CONSTITUCION,ENERO,2018,212
Robo total,BARRACAS,ABRIL,2019,212
Hurto total,FLORES,MAYO,2022,211
Robo total,BARRACAS,MAYO,2017,211
Robo total,BARRACAS,SEPTIEMBRE,2018,211
Robo total,VILLA LUGANO,NOVIEMBRE,2019,211
Hurto total,CABALLITO,NOVIEMBRE,2022,211
Robo total,CONSTITUCION,ENERO,2016,211
Robo total,VILLA LUGANO,MAYO,2019,211
Robo total,VILLA LUGANO,DICIEMBRE,2023,211
Robo total,CONSTITUCION,JULIO,2018,211
Robo total,RECOLETA,MAYO,2022,211
Hurto total,SAN NICOLAS,ABRIL,2018,210
Robo total,RECOLETA,ENERO,2023,210
Robo total,ALMAGRO,ABRIL,2016,210
Robo total,VILLA LUGANO,OCTUBRE,2023,210
Hurto total,RECOLETA,MARZO,2016,210
Robo total,CONSTITUCION,ABRIL,2019,210
Hurto total,FLORES,OCTUBRE,2023,209
Robo total,CABALLITO,NOVIEMBRE,2021,209
Robo total,BALVANERA,NOVIEMBRE,2020,209
Robo total,SAN NICOLAS,MAYO,2017,209
Hurto total,RECOLETA,NOVIEMBRE,2016,209
Robo total,CONSTITUCION,NOVIEMBRE,2017,209
Robo total,ALMAGRO,DICIEMBRE,2019,209
Hurto total,CABALLITO,DICIEMBRE,2022,209
Robo total,RECOLETA,ENERO,2016,209
Robo total,SAN NICOLAS,DICIEMBRE,2016,209
Robo total,SAN NICOLAS,SEPTIEMBRE,2023,209
Robo total,CONSTITUCION,ENERO,2019,209
Robo total,CABALLITO,AGOSTO,2022,208
Robo total,VILLA LUGANO,SEPTIEMBRE,2018,208
Hurto total,PALERMO,MAYO,2021,208
Hurto total,BALVANERA,JULIO,2021,208
Robo total,RECOLETA,ENERO,2022,208
Hurto total,SAN NICOLAS,JUNIO,2022,208
Robo total,CONSTITUCION,MARZO,2019,208
Robo total,BARRACAS,NOVIEMBRE,2017,208
Robo total,BARRACAS,NOVIEMBRE,2018,208
Robo total,VILLA LUGANO,ENERO,2023,208
Robo total,BARRACAS,OCTUBRE,2019,208
Robo total,CONSTITUCION,AGOSTO,2017,207
Hurto total,FLORES,JUNIO,2023,207
Robo total,RECOLETA,NOVIEMBRE,2022,207
Robo total,ALMAGRO,MARZO,2022,207
Robo total,SAN NICOLAS,ABRIL,2019,207
Robo total,CONSTITUCION,OCTUBRE,2019,206
Robo total,CABALLITO,AGOSTO,2019,206
Hurto total,SAN NICOLAS,MARZO,2017,206
Robo total,FLORES,JUNIO,2021,206
Robo total,VILLA LUGANO,AGOSTO,2016,206
Robo total,FLORES,MARZO,2021,206
Robo total,BARRACAS,AGOSTO,2017,206
Robo total,BARRACAS,MARZO,2019,206
Robo total,SAN NICOLAS,MARZO,2017,205
Robo total,SAN NICOLAS,ENERO,2017,205
Hurto total,FLORES,NOVIEMBRE,2023,205
Robo total,VILLA LUGANO,MARZO,2023,205
Hurto total,ALMAGRO,DICIEMBRE,2023,205
Hurto total,BALVANERA,ENERO,2022,205
Robo total,SAN NICOLAS,ENERO,2018,205
Robo total,SAN NICOLAS,JUNIO,2017,205
Hurto total,RECOLETA,ABRIL,2022,204
Robo total,BELGRANO,OCTUBRE,2016,204
Robo total,BARRACAS,ABRIL,2017,204
Robo total,ALMAGRO,JULIO,2019,204
Robo total,VILLA LUGANO,FEBRERO,2016,204
Robo total,RECOLETA,DICIEMBRE,2022,204
Hurto total,FLORES,ABRIL,2023,204
Robo total,ALMAGRO,SEPTIEMBRE,2022,203
Hurto total,BALVANERA,SEPTIEMBRE,2021,203
Robo total,CONSTITUCION,NOVIEMBRE,2019,203
Robo total,CONSTITUCION,MAYO,2017,203
Robo total,CONSTITUCION,MARZO,2017,203
Robo total,CABALLITO,DICIEMBRE,2019,203
Hurto total,CABALLITO,SEPTIEMBRE,2022,202
Robo total,BARRACAS,SEPTIEMBRE,2017,202
Robo total,CONSTITUCION,DICIEMBRE,2019,202
Robo total,CABALLITO,ENERO,2021,202
Robo total,CONSTITUCION,DICIEMBRE,2016,202
Robo total,ALMAGRO,NOVIEMBRE,2021,202
Robo total,SAN NICOLAS,FEBRERO,2019,202
Hurto total,BALVANERA,FEBRERO,2018,202
Robo total,BARRACAS,MARZO,2017,202
Robo total,BALVANERA,AGOSTO,2021,201
Robo total,BALVANERA,JUNIO,2021,201
Robo total,SAN NICOLAS,NOVIEMBRE,2019,201
Hurto total,RECOLETA,DICIEMBRE,2021,201
Hurto total,SAN NICOLAS,AGOSTO,2017,201
Hurto total,FLORES,ABRIL,2022,201
Robo total,RECOLETA,OCTUBRE,2019,200
Robo total,SAN NICOLAS,FEBRERO,2016,200
Robo total,VILLA LUGANO,DICIEMBRE,2022,200
Robo total,VILLA CRESPO,OCTUBRE,2018,200
Robo total,ALMAGRO,NOVIEMBRE,2019,200
Robo total,SAN NICOLAS,MAYO,2016,199
Robo total,SAN NICOLAS,ABRIL,2016,199
Robo total,RETIRO,DICIEMBRE,2022,199
Robo total,VILLA CRESPO,DICIEMBRE,2018,199
Robo total,RECOLETA,SEPTIEMBRE,2022,199
Robo total,BELGRANO,ABRIL,2016,199
Hurto total,RECOLETA,ENERO,2023,199
Robo total,BARRACAS,ABRIL,2023,199
Robo total,RECOLETA,ENERO,2020,198
Robo total,VILLA CRESPO,SEPTIEMBRE,2018,198
Hurto total,BALVANERA,MARZO,2021,198
Robo total,SAN NICOLAS,FEBRERO,2018,198
Robo total,SAN NICOLAS,FEBRERO,2017,198
Robo total,VILLA LUGANO,SEPTIEMBRE,2023,198
Robo total,VILLA LUGANO,JULIO,2019,198
Robo total,BELGRANO,OCTUBRE,2018,198
Robo total,CONSTITUCION,SEPTIEMBRE,2018,198
Robo total,RECOLETA,NOVIEMBRE,2021,198
Robo total,SAN NICOLAS,SEPTIEMBRE,2018,198
Robo total,ALMAGRO,JUNIO,2016,198
Robo total,CABALLITO,SEPTIEMBRE,2019,198
Hurto total,BELGRANO,MAYO,2023,197
Hurto total,RECOLETA,FEBRERO,2023,197
Hurto total,BALVANERA,MAYO,2017,197
Robo total,CONSTITUCION,NOVIEMBRE,2016,197
Robo total,VILLA SOLDATI,MARZO,2016,197
Robo total,CABALLITO,NOVIEMBRE,2019,197
Robo total,BARRACAS,SEPTIEMBRE,2019,197
Robo total,CONSTITUCION,MARZO,2018,197
Robo total,CABALLITO,JULIO,2021,197
Robo total,RETIRO,JULIO,2019,197
Robo total,RECOLETA,SEPTIEMBRE,2019,197
Robo total,RECOLETA,MARZO,2021,197
Hurto total,RECOLETA,DICIEMBRE,2016,196
Robo total,FLORES,DICIEMBRE,2020,196
Hurto total,VILLA CRESPO,DICIEMBRE,2023,196
Hurto total,FLORES,ENERO,2023,196
Hurto total,BALVANERA,JUNIO,2017,196
Hurto total,MONSERRAT,NOVIEMBRE,2019,196
Hurto total,ALMAGRO,JULIO,2023,196
Hurto total,BALVANERA,ABRIL,2018,196
Robo total,BALVANERA,MAYO,2021,196
Robo total,RETIRO,AGOSTO,2018,196
Hurto total,BALVANERA,FEBRERO,2017,196
Robo total,BARRACAS,FEBRERO,2019,196
Robo total,VILLA CRESPO,DICIEMBRE,2023,196
Robo total,BARRACAS,ENERO,2016,195
Robo total,CABALLITO,MARZO,2022,195
Robo total,RETIRO,MARZO,2019,195
Amenazas,RECOLETA,MARZO,2016,195
Hurto total,BALVANERA,DICIEMBRE,2020,195
Robo total,VILLA LUGANO,MARZO,2016,195
Hurto total,FLORES,DICIEMBRE,2018,195
Robo total,SAN NICOLAS,MARZO,2018,195
Robo total,NUEVA POMPEYA,OCTUBRE,2018,195
Robo total,ALMAGRO,FEBRERO,2017,195
Robo total,RECOLETA,DICIEMBRE,2021,195
Robo total,NUEVA POMPEYA,AGOSTO,2018,194
Robo total,CABALLITO,JULIO,2019,194
Hurto total,SAN NICOLAS,MAYO,2022,194
Robo total,BALVANERA,OCTUBRE,2020,194
Hurto total,SAN NICOLAS,ENERO,2023,194
Robo total,RETIRO,MARZO,2023,194
Robo total,PALERMO,AGOSTO,2020,194
Robo total,BALVANERA,MARZO,2020,194
Robo total,BARRACAS,ENERO,2023,193
Robo total,CONSTITUCION,SEPTIEMBRE,2017,193
Robo total,RETIRO,NOVIEMBRE,2018,193
Hurto total,RECOLETA,MAYO,2022,193
Hurto total,CABALLITO,OCTUBRE,2023,193
Robo total,CONSTITUCION,JULIO,2023,193
Hurto total,BELGRANO,AGOSTO,2023,193
Robo total,CONSTITUCION,DICIEMBRE,2018,193
Robo total,CABALLITO,OCTUBRE,2021,193
Hurto total,CABALLITO,AGOSTO,2022,193
Robo total,RETIRO,FEBRERO,2016,193
Robo total,RECOLETA,NOVIEMBRE,2019,193
Robo total,RECOLETA,AGOSTO,2021,192
Hurto total,ALMAGRO,DICIEMBRE,2022,192
Robo total,CONSTITUCION,MAYO,2016,192
Robo total,ALMAGRO,ABRIL,2023,192
Hurto total,BALVANERA,ABRIL,2017,192
Hurto total,SAN NICOLAS,ABRIL,2017,192
Robo total,FLORES,MAYO,2021,192
Robo total,RETIRO,JULIO,2023,192
Robo total,CONSTITUCION,OCTUBRE,2016,192
Robo total,CONSTITUCION,AGOSTO,2022,191
Robo total,VILLA LUGANO,FEBRERO,2023,191
Robo total,CONSTITUCION,SEPTIEMBRE,2022,191
Robo total,BARRACAS,ENERO,2017,191
Hurto total,RECOLETA,OCTUBRE,2018,191
Robo total,BARRACAS,MAYO,2018,191
Hurto total,RECOLETA,NOVIEMBRE,2021,190
Robo total,CONSTITUCION,ABRIL,2023,190
Hurto total,RECOLETA,MAYO,2019,190
Robo total,CONSTITUCION,NOVIEMBRE,2018,190
Hurto total,BELGRANO,JULIO,2023,190
Robo total,ALMAGRO,OCTUBRE,2021,190
Amenazas,VILLA LUGANO,AGOSTO,2016,190
Hurto total,RECOLETA,OCTUBRE,2016,190
Hurto total,ALMAGRO,AGOSTO,2023,190
Robo total,VILLA LUGANO,AGOSTO,2019,190
Robo total,CONSTITUCION,FEBRERO,2017,190
Hurto total,RECOLETA,DICIEMBRE,2018,190
Robo total,CONSTITUCION,DICIEMBRE,2017,190
Robo total,RETIRO,ENERO,2023,190
Robo total,RETIRO,ENERO,2016,189
Robo total,FLORES,ABRIL,2021,189
Hurto total,RECOLETA,MAYO,2016,189
Robo total,BELGRANO,OCTUBRE,2019,189
Robo total,VILLA LUGANO,DICIEMBRE,2016,189
Robo total,BARRACAS,DICIEMBRE,2022,189
Amenazas,BALVANERA,ABRIL,2016,189
Robo total,CABALLITO,FEBRERO,2023,189
Robo total,RECOLETA,SEPTIEMBRE,2021,189
Robo total,BARRACAS,DICIEMBRE,2023,188
Robo total,VILLA LUGANO,JUNIO,2023,188
Hurto total,FLORES,FEBRERO,2023,188
Robo total,CABALLITO,JUNIO,2022,188
Robo total,CABALLITO,OCTUBRE,2023,188
Hurto total,SAN NICOLAS,FEBRERO,2017,188
Robo total,SAN NICOLAS,JULIO,2018,187
Robo total,VILLA LUGANO,NOVIEMBRE,2016,187
Robo total,SAN NICOLAS,NOVIEMBRE,2016,187
Robo total,BARRACAS,JULIO,2017,187
Hurto total,ALMAGRO,OCTUBRE,2022,187
Robo total,CONSTITUCION,OCTUBRE,2018,187
Hurto total,VILLA CRESPO,SEPTIEMBRE,2023,187
Robo total,ALMAGRO,MAYO,2023,186
Robo total,RETIRO,ENERO,2019,186
Hurto total,RECOLETA,MARZO,2019,186
Robo total,BELGRANO,JULIO,2017,186
Robo total,BELGRANO,JULIO,2018,186
Robo total,VILLA LUGANO,MARZO,2022,186
Robo total,CONSTITUCION,AGOSTO,2023,186
Hurto total,ALMAGRO,SEPTIEMBRE,2023,186
Robo total,CONSTITUCION,FEBRERO,2016,185
Robo total,SAN NICOLAS,SEPTIEMBRE,2016,185
Robo total,VILLA LUGANO,NOVIEMBRE,2023,185
Robo total,CONSTITUCION,FEBRERO,2023,185
Robo total,CONSTITUCION,FEBRERO,2020,185
Robo total,RECOLETA,FEBRERO,2020,185
Robo total,CONSTITUCION,DICIEMBRE,2023,185
Robo total,ALMAGRO,FEBRERO,2022,185
Robo total,VILLA CRESPO,JULIO,2023,185
Robo total,BELGRANO,ENERO,2017,185
Robo total,VILLA LUGANO,ENERO,2019,185
Hurto total,RECOLETA,DICIEMBRE,2019,185
Robo total,BELGRANO,MAYO,2016,185
Robo total,RETIRO,FEBRERO,2019,185
Robo total,SAN NICOLAS,AGOSTO,2017,185
Robo total,VILLA LUGANO,ABRIL,2022,185
Hurto total,FLORES,MARZO,2017,185
Hurto total,ALMAGRO,NOVIEMBRE,2022,184
Hurto total,FLORES,DICIEMBRE,2021,184
Robo total,BARRACAS,FEBRERO,2020,184
Robo total,VILLA LUGANO,AGOSTO,2017,184
Hurto total,BELGRANO,OCTUBRE,2022,184
Hurto total,SAN NICOLAS,SEPTIEMBRE,2017,184
Robo total,RETIRO,SEPTIEMBRE,2023,184
Robo total,RETIRO,JULIO,2022,184
Robo total,VILLA LUGANO,MARZO,2018,184
Robo total,BARRACAS,FEBRERO,2023,184
Hurto total,CABALLITO,MAYO,2022,184
Robo total,CONSTITUCION,JUNIO,2019,184
Hurto total,MONSERRAT,DICIEMBRE,2019,184
Robo total,CONSTITUCION,ABRIL,2017,183
Robo total,VILLA LUGANO,NOVIEMBRE,2022,183
Hurto total,RECOLETA,JUNIO,2019,183
Robo total,RETIRO,NOVIEMBRE,2019,183
Robo total,ALMAGRO,DICIEMBRE,2022,183
Robo total,ALMAGRO,FEBRERO,2020,182
Robo total,CONSTITUCION,MAYO,2019,182
Robo total,VILLA LUGANO,AGOSTO,2022,182
Robo total,RETIRO,ABRIL,2019,182
Robo total,BARRACAS,OCTUBRE,2018,182
Hurto total,MATADEROS,ENERO,2023,182
Robo total,VILLA LUGANO,DICIEMBRE,2019,182
Robo total,VILLA LUGANO,OCTUBRE,2016,182
Hurto total,CABALLITO,JUNIO,2023,182
Hurto total,CABALLITO,MARZO,2019,182
Robo total,CONSTITUCION,MAYO,2023,182
Robo total,BARRACAS,MAYO,2022,182
Robo total,RECOLETA,JUNIO,2022,181
Hurto total,RECOLETA,OCTUBRE,2021,181
Robo total,SAN NICOLAS,OCTUBRE,2019,181
Robo total,BELGRANO,MAYO,2019,181
Robo total,BELGRANO,SEPTIEMBRE,2018,181
Robo total,VILLA LUGANO,MARZO,2017,181
Hurto total,RECOLETA,SEPTIEMBRE,2016,181
Robo total,CONSTITUCION,JULIO,2022,181
Robo total,SAN NICOLAS,OCTUBRE,2023,181
Robo total,VILLA SOLDATI,OCTUBRE,2023,180
Hurto total,ALMAGRO,SEPTIEMBRE,2022,180
Hurto total,PARQUE PATRICIOS,DICIEMBRE,2023,180
Robo total,CONSTITUCION,JUNIO,2018,180
Robo total,SAN NICOLAS,OCTUBRE,2016,180
Hurto total,BELGRANO,SEPTIEMBRE,2023,180
Hurto total,CABALLITO,FEBRERO,2023,180
Robo total,RETIRO,SEPTIEMBRE,2019,180
Robo total,VILLA LUGANO,OCTUBRE,2019,180
Robo total,RECOLETA,ENERO,2021,180
Hurto total,RECOLETA,FEBRERO,2019,180
Robo total,VILLA URQUIZA,AGOSTO,2018,180
Robo total,ALMAGRO,ENERO,2023,180
Robo total,VILLA LUGANO,ABRIL,2023,180
Robo total,FLORES,OCTUBRE,2020,180
Robo total,BELGRANO,FEBRERO,2016,179
Robo total,BELGRANO,ENERO,2020,179
Robo total,SAN NICOLAS,SEPTIEMBRE,2017,179
Robo total,RECOLETA,DICIEMBRE,2020,179
Robo total,VILLA CRESPO,AGOSTO,2018,179
Robo total,CABALLITO,ABRIL,2022,179
Robo total,BARRACAS,JUNIO,2019,179
Hurto total,MONSERRAT,MARZO,2019,179
Robo total,VILLA LUGANO,ABRIL,2018,179
Robo total,PARQUE CHACABUCO,AGOSTO,2018,179
Robo total,SAN NICOLAS,JUNIO,2016,179
Hurto total,VILLA LUGANO,DICIEMBRE,2022,179
Hurto total,FLORES,ENERO,2019,178
Robo total,BELGRANO,ENERO,2016,178
Robo total,CONSTITUCION,NOVIEMBRE,2023,178
Hurto total,RECOLETA,ENERO,2017,178
Robo total,ALMAGRO,MARZO,2021,178
Robo total,BARRACAS,AGOSTO,2022,178
Robo total,BARRACAS,OCTUBRE,2021,178
Hurto total,RECOLETA,MARZO,2018,178
Robo total,BELGRANO,MARZO,2018,178
Robo total,BARRACAS,JULIO,2022,178
Hurto total,BALVANERA,ENERO,2018,178
Robo total,CONSTITUCION,ENERO,2017,177
Robo total,BELGRANO,NOVIEMBRE,2017,177
Lesiones Dolosas,BALVANERA,DICIEMBRE,2016,177
Robo total,VILLA CRESPO,ENERO,2019,177
Robo total,FLORES,NOVIEMBRE,2020,177
Robo total,SAN NICOLAS,DICIEMBRE,2017,177
Hurto total,RECOLETA,ENERO,2020,177
Robo total,CABALLITO,MARZO,2021,177
Hurto total,RECOLETA,MAYO,2017,177
Robo total,RETIRO,ENERO,2020,177
Robo total,BELGRANO,JULIO,2016,176
Robo total,RETIRO,MARZO,2016,176
Robo total,VILLA LUGANO,ABRIL,2019,176
Hurto total,FLORES,NOVIEMBRE,2021,176
Robo total,RETIRO,AGOSTO,2023,176
Robo total,RETIRO,MAYO,2023,176
Robo total,SAN NICOLAS,ABRIL,2018,176
Robo total,CABALLITO,MAYO,2022,176
Robo total,BELGRANO,SEPTIEMBRE,2023,176
Robo total,BELGRANO,MARZO,2019,176
Robo total,SAN NICOLAS,MAYO,2019,176
Robo total,VILLA CRESPO,ABRIL,2016,176
Robo total,PALERMO,JULIO,2020,175
Hurto total,RECOLETA,MARZO,2017,175
Robo total,ALMAGRO,ENERO,2021,175
Robo total,CONSTITUCION,SEPTIEMBRE,2023,175
Hurto total,FLORES,JUNIO,2019,175
Robo total,RECOLETA,JULIO,2021,175
Hurto total,CABALLITO,SEPTIEMBRE,2023,175
Robo total,CONSTITUCION,ENERO,2020,175
Robo total,BELGRANO,JULIO,2022,175
Robo total,BELGRANO,DICIEMBRE,2018,175
Robo total,SAN NICOLAS,MARZO,2023,175
Robo total,CONSTITUCION,JUNIO,2017,175
Hurto total,BELGRANO,OCTUBRE,2023,175
Robo total,SAN NICOLAS,JUNIO,2019,175
Robo total,ALMAGRO,OCTUBRE,2020,175
Robo total,RETIRO,OCTUBRE,2023,174
Robo total,SAN NICOLAS,JUNIO,2018,174
Robo total,SAN NICOLAS,ENERO,2020,174
